Jahr,Profs,StudierendeGesamt,Drittmitteleinnahmen,Zitationen,ExzGefoerdertDummy_U,ExzDreiFLDummy_U,LuFid,EinheitlicheID
2016,,,94.7690853566392,,nicht gefoerdert,nicht gefoerdert,50,106
2017,,,11.94693468428321,,nicht gefoerdert,nicht gefoerdert,50,106
2018,,,0,,nicht gefoerdert,nicht gefoerdert,50,106
2016,1,74,3.463687177217163,,nicht gefoerdert,nicht gefoerdert,18,106
2017,1,74,75.72278077167537,,nicht gefoerdert,nicht gefoerdert,18,106
2018,1,75,44.36705238158466,,nicht gefoerdert,nicht gefoerdert,18,106
2016,3,31,8.783985115969504,,nicht gefoerdert,nicht gefoerdert,27,106
2017,3,28,2.354071321162545,,nicht gefoerdert,nicht gefoerdert,27,106
2018,3,22,40.55425185457251,,nicht gefoerdert,nicht gefoerdert,27,106
2016,4,316,149.2132261366793,28,nicht gefoerdert,nicht gefoerdert,36,106
2017,4,316,27.64043956106048,27,nicht gefoerdert,nicht gefoerdert,36,106
2018,3,308,51.30521764606463,40,nicht gefoerdert,nicht gefoerdert,36,106
2016,8,490,149.0363151111746,6,nicht gefoerdert,nicht gefoerdert,23,106
2017,7,532,198.5196657023174,7,nicht gefoerdert,nicht gefoerdert,23,106
2018,7,515,196.6400374967945,2,nicht gefoerdert,nicht gefoerdert,23,106
2016,,,,25,nicht gefoerdert,nicht gefoerdert,10,106
2017,,,,19,nicht gefoerdert,nicht gefoerdert,10,106
2018,,,,16,nicht gefoerdert,nicht gefoerdert,10,106
2016,1,,,,nicht gefoerdert,nicht gefoerdert,3,106
2017,0,,,,nicht gefoerdert,nicht gefoerdert,3,106
2018,0,,,,nicht gefoerdert,nicht gefoerdert,3,106
2016,12,1873,85.6638718297492,7,nicht gefoerdert,nicht gefoerdert,22,106
2017,14,1260,105.5635834359086,21,nicht gefoerdert,nicht gefoerdert,22,106
2018,12,1222,115.6896913245897,9,nicht gefoerdert,nicht gefoerdert,22,106
2016,5,636,4.902234512188757,7,nicht gefoerdert,nicht gefoerdert,5,106
2017,5,639,3.258005588702472,21,nicht gefoerdert,nicht gefoerdert,5,106
2018,5,647,40.26489739944522,9,nicht gefoerdert,nicht gefoerdert,5,106
2016,4,335,18.1983240920187,7,nicht gefoerdert,nicht gefoerdert,44,106
2017,4,304,53.06495882493146,21,nicht gefoerdert,nicht gefoerdert,44,106
2018,3,251,67.77403191223286,9,nicht gefoerdert,nicht gefoerdert,44,106
2016,,,,7,nicht gefoerdert,nicht gefoerdert,45,106
2017,,,,21,nicht gefoerdert,nicht gefoerdert,45,106
2018,,,,9,nicht gefoerdert,nicht gefoerdert,45,106
2016,,,,7,nicht gefoerdert,nicht gefoerdert,7,106
2017,,,,21,nicht gefoerdert,nicht gefoerdert,7,106
2018,,,,9,nicht gefoerdert,nicht gefoerdert,7,106
2016,,,,4,nicht gefoerdert,nicht gefoerdert,28,106
2017,,,,5,nicht gefoerdert,nicht gefoerdert,28,106
2018,,,,7,nicht gefoerdert,nicht gefoerdert,28,106
2016,13,559,350.5074555828544,294,nicht gefoerdert,nicht gefoerdert,39,106
2017,14,600,190.6321980018425,347,nicht gefoerdert,nicht gefoerdert,39,106
2018,16,611,302.1727501954273,417,nicht gefoerdert,nicht gefoerdert,39,106
2016,17,391,505.4646354878704,199,nicht gefoerdert,nicht gefoerdert,17,106
2017,15,394,430.7163862933202,249,nicht gefoerdert,nicht gefoerdert,17,106
2018,14,395,1337.201167333811,227,nicht gefoerdert,nicht gefoerdert,17,106
2016,,,,,nicht gefoerdert,nicht gefoerdert,46,106
2017,,,,,nicht gefoerdert,nicht gefoerdert,46,106
2018,,,,,nicht gefoerdert,nicht gefoerdert,46,106
2016,3,177,193.2513984521031,5,nicht gefoerdert,nicht gefoerdert,49,106
2017,3,179,69.89570330962026,9,nicht gefoerdert,nicht gefoerdert,49,106
