Reputation,LuFid,EinheitlicheID,Exz_gefoerdert_FJ,Profs,Mitarbeiter,Drittmitteleinnahmen,Grundmittel,DiplBaMa,StudierendeGesamt,Zitationen,Publikationen,Foerderphase,FoerderungPhase1,DM_DFG_Mittel
0,1,57,0,0,,0,.0011286681712818,,0,0,0,1,0,18.59382371076132
0,3,57,0,0,2.5999999,.1397668127236967,.2343557877467441,15,.015,.0041999999,.0026,1,0,18.59382371076132
0,4,57,0,2.8,10.2,.0591164494487721,.6682622789796371,22.6,.094999999,.0012000001,.00020000001,1,0,18.59382371076132
1,5,57,0,5.6,21.4,.157331016696178,2.197814294183057,317.60001,.8204,.0099999998,.0048000002,1,0,18.59382371076132
0,7,57,0,8,8.8000002,.1759904012079235,1.160585976178558,163.8,.1638,.0099999998,.0048000002,1,0,18.59382371076132
0,10,57,0,0,2,0,,5,.0049999999,.0040000002,.00033333333,1,0,18.59382371076132
1,12,57,1,31.4,172.8,9.081167122971365,10.41362421917399,798,.98140001,11.0024,.29079998,1,1,18.59382371076132
0,13,57,1,14.8,122,4.296194859958044,10.69368777776396,457.20001,.49779999,5.5327997,.17219999,1,1,18.59382371076132
0,15,57,0,13.33333333333333,111.33334,3.415696702720763,7.446671816069412,372.79999,.37279999,.075400002,.0048000002,1,0,18.59382371076132
0,17,57,0,1.6,12,.1843757108345804,.8720679227673889,112.2,.1462,.042799998,.0034,1,0,18.59382371076132
0,19,57,0,16,107.8,4.213911302150074,6.056982644360455,584.40002,.5844,.1114,.0148,1,0,18.59382371076132
0,20,57,0,5.4,13.2,.6482485458892312,1.377503095073621,272.20001,.37200001,.0096000005,.001,1,0,18.59382371076132
0,21,57,0,9.4,28.4,1.692513963886982,2.64346423659424,182.2,.1822,.47600001,.0254,1,0,18.59382371076132
1,22,57,0,11.8,42.599998,.4228748671845976,3.877964217287093,681,1.1654,.0099999998,.0048000002,1,0,18.59382371076132
1,23,57,0,13.6,50.799999,2.203680130090478,3.499853780002492,853.40002,1.0832,.0083999997,.0052,1,0,18.59382371076132
0,25,57,0,19,128.60001,3.463521385711846,5.716347509355602,671.59998,.67659998,.30039999,.024,1,0,18.59382371076132
0,27,57,0,13.2,30.6,.1992010834007687,3.44044246506553,296.79999,.35639998,.00080000004,.00040000002,1,0,18.59382371076132
0,28,57,0,5,3.8,.0600517708924876,.5669406549915208,238.39999,.2384,0,.00020000001,1,0,18.59382371076132
0,29,57,0,3,2.8,.0120677209496145,.3933778257773657,176,.176,.00020000001,0,1,0,18.59382371076132
0,30,57,0,0,,.8935785014075637,.1122402822267535,,0,0,0,1,0,18.59382371076132
0,32,57,0,14.6,41.799999,.9559249916096703,4.333999982473329,284.39999,.50300002,.36920002,.039000001,1,0,18.59382371076132
0,33,57,0,.6666666666666666,1,0,,0,0,0,0,1,0,18.59382371076132
0,34,57,0,2,4.1999998,.0043570205506836,.4669756164183147,111.8,.1118,.00020000001,.00040000002,1,0,18.59382371076132
0,35,57,0,4.4,40.799999,.5538691133607784,3.1705130029279,415,.41499999,.2088,.0032000002,1,0,18.59382371076132
0,36,57,0,2,8.8000002,.0528176033741611,1.129048063475373,262,.29839998,.0066,.0020000001,1,0,18.59382371076132
0,37,57,0,17.2,88.400002,4.483112216943048,7.775012653027955,404.79999,.428,5.4263997,.2138,1,0,18.59382371076132
0,38,57,0,2,10.2,.0427922080545965,.8295134667100443,321,.3644,.0184,.0018,1,0,18.59382371076132
