Reputation,LuFid,EinheitlicheID,Exz_gefoerdert_FJ,Profs,Mitarbeiter,Drittmitteleinnahmen,Grundmittel,DiplBaMa,StudierendeGesamt,Zitationen,Publikationen,Foerderphase,FoerderungPhase1,DM_DFG_Mittel
0,6,59,0,16.4,49.400002,.4328318978764347,4.791191493714109,684.59998,.6846,0,0,1,0,2.011587528085318
0,8,59,0,14,53,1.142629996161005,4.266429609451387,369.20001,.36920002,0,.00020000001,1,0,2.011587528085318
0,11,59,0,0,,0,.0011364164653789,,0,0,0,1,0,2.011587528085318
0,13,59,0,2.4,9.8000002,.3530688427525321,.6371042303246267,,0,.038200002,.0040000002,1,0,2.011587528085318
0,15,59,0,9.6,29.6,.0942870468381947,1.717447401866702,596.79999,.59679997,.0148,.0020000001,1,0,2.011587528085318
0,17,59,0,0,,0,.2706150860065354,,0,0,0,1,0,2.011587528085318
0,23,59,0,0,,0,.0270285019653545,,0,0,0,1,0,2.011587528085318
0,25,59,0,9.199999999999999,28.4,.4809957314284107,2.545859579674149,387.79999,.38779998,.022,.0034,1,0,2.011587528085318
0,26,59,0,20.2,113.4,5.970127917171926,8.044247006414944,32.666668,.032666668,0,0,1,0,2.011587528085318
0,28,59,0,0,.25,0,.0371427230753611,,0,0,0,1,0,2.011587528085318
0,29,59,0,1,1,0,,,0,0,0,1,0,2.011587528085318
0,30,59,0,1,0,0,.0308531024106203,,0,0,0,1,0,2.011587528085318
0,31,59,0,11.6,55.599998,4.01127854247192,4.769604967734014,235.8,.2358,.063000001,.016799999,1,0,2.011587528085318
0,32,59,0,10,23.799999,.1461947528555145,2.294128358176799,118.6,.1186,.021399999,.0054000001,1,0,2.011587528085318
0,33,59,0,0,,0,.1986874849759779,,0,0,0,1,0,2.011587528085318
0,35,59,0,0,,0,.0516483516331267,,0,.0049999999,0,1,0,2.011587528085318
0,37,59,0,9.199999999999999,49.200001,.6636425291838842,2.274779836187178,73.400002,.073399998,.1838,.0328,1,0,2.011587528085318
0,40,59,0,4.6,10,.0559039723265023,1.044228471362435,1135,1.135,.00080000004,0,1,0,2.011587528085318
0,42,59,0,0,.2,0,.0500643108294476,,0,0,0,1,0,2.011587528085318
0,43,59,0,0,,0,.1178489702260227,,0,0,0,1,0,2.011587528085318
0,48,59,0,1,3,.1347716691591685,.2542045579641338,,0,.00040000002,.00020000001,1,0,2.011587528085318
0,49,59,0,0,.2,.0335093277608775,.7624344371437966,,0,0,0,1,0,2.011587528085318
0,50,59,0,1,2.5999999,.1521759516972443,1.060000119886664,95,.094999999,0,0,1,0,2.011587528085318
0,51,59,0,5.2,23.200001,.4184423954126508,.37536603225754,,0,.0014,.00020000001,1,0,2.011587528085318
0,52,59,0,.6,1.8,.0209329336436209,.4629045294753427,,0,0,0,1,0,2.011587528085318
0,55,59,0,0,,0,,627.59998,.62759995,0,0,1,0,2.011587528085318
0,56,59,0,7.8,17.4,.111749039042562,1.85952639740167,17.799999,.0178,.0080000004,.0024000001,1,0,2.011587528085318
0,2,74,0,1,10.6,0,,,0,.1506,.0060000001,1,0,32.29305537589401
0,3,74,0,0,,0,.0152370203123047,64.199997,.064199999,0,.00060000003,1,0,32.29305537589401
0,6,74,0,11.2,70,1.494720934440973,6.804156229777198,944.40002,.94440001,0,0,1,0,32.29305537589401
0,8,74,0,20.6,218.8,12.7478246339986,15.24623776163859,792.40002,.7924,.015,.0020000001,1,0,32.29305537589401
0,11,74,0,1,2.8,0,.3136864464046956,,0,0,0,1,0,32.29305537589401
0,12,74,0,9.6,52.400002,1.566082559140354,4.239938021381827,353.20001,.38999999,1.478,.034000002,1,0,32.29305537589401
0,13,74,0,18,170.60001,2.89340103002172,12.52950698824872,487.20001,.51999998,4.5912004,.14760001,1,0,32.29305537589401
