Reputation,LuFid,EinheitlicheID,BundeslandID,Exz_gefoerdert_FJ,Profs,Mitarbeiter,Drittmitteleinnahmen,Grundmittel,DiplBaMa,StudierendeGesamt,Zitationen,Publikationen,Foerderphase,DM_DFG_Mittel,Ost,Nach1945,FoerderungPhase1
0,1,57,132,0,0,,0,.0011286681712818,,0,0,0,1,18.59382371076132,West Germany (U),Founded before 1945 (U),0
0,3,57,132,0,0,2.5999999,.1397668127236967,.2343557877467441,15,.015,.0041999999,.0026,1,18.59382371076132,West Germany (U),Founded before 1945 (U),0
0,3,57,132,0,.2,2.4000001,.0095991250588039,.5088437126007513,47.599998,.047599997,.0054000001,.0024000001,2,35.51963860397759,West Germany (U),Founded before 1945 (U),0
0,4,57,132,0,2.8,10.2,.0591164494487721,.6682622789796371,22.6,.094999999,.0012000001,.00020000001,1,18.59382371076132,West Germany (U),Founded before 1945 (U),0
0,4,57,132,0,2.8,9.8000002,.0716399677199889,.8364910790589781,14,.1382,.001,.00040000002,2,35.51963860397759,West Germany (U),Founded before 1945 (U),0
1,5,57,132,0,5.6,21.4,.157331016696178,2.197814294183057,317.60001,.8204,.0099999998,.0048000002,1,18.59382371076132,West Germany (U),Founded before 1945 (U),0
1,5,57,132,0,6,23,.5456469338856177,1.934363823743446,262.39999,.84959996,.0266,.0074,2,35.51963860397759,West Germany (U),Founded before 1945 (U),0
0,7,57,132,0,8,8.8000002,.1759904012079236,1.160585976178558,163.8,.1638,.0099999998,.0048000002,1,18.59382371076132,West Germany (U),Founded before 1945 (U),0
0,7,57,132,0,5.4,13.2,.2737949008543748,1.313251134153751,241.60001,.24160001,.0266,.0074,2,35.51963860397759,West Germany (U),Founded before 1945 (U),0
0,10,57,132,0,0,2,0,,5,.0049999999,.0040000002,.00033333333,1,18.59382371076132,West Germany (U),Founded before 1945 (U),0
0,10,57,132,0,0,,0,,12,.012,.017000001,.001,2,35.51963860397759,West Germany (U),Founded before 1945 (U),0
1,12,57,132,1,31.4,172.8,9.081167122971367,10.41362421917399,798,.98140001,11.0024,.29079998,1,18.59382371076132,West Germany (U),Founded before 1945 (U),0
1,12,57,132,1,26,269.20001,18.53810164324607,8.384818975884304,785.40002,.9878,15.9352,.36520001,2,35.51963860397759,West Germany (U),Founded before 1945 (U),1
0,13,57,132,1,14.8,122,4.296194859958044,10.69368777776396,457.20001,.49779999,5.5327997,.17219999,1,18.59382371076132,West Germany (U),Founded before 1945 (U),0
0,13,57,132,1,15.2,126.6,3.985910046522918,10.76657389349806,513,.5966,9.6024008,.21439999,2,35.51963860397759,West Germany (U),Founded before 1945 (U),1
0,15,57,132,0,13.33333333333333,111.33334,3.415696702720763,7.446671816069411,372.79999,.37279999,.075400002,.0048000002,1,18.59382371076132,West Germany (U),Founded before 1945 (U),0
0,15,57,132,1,19,191.2,12.13523426941038,7.150073890456106,604.20001,.60420001,.2068,.011600001,2,35.51963860397759,West Germany (U),Founded before 1945 (U),0
0,17,57,132,0,1.6,12,.1843757108345804,.8720679227673888,112.2,.1462,.042799998,.0034,1,18.59382371076132,West Germany (U),Founded before 1945 (U),0
0,17,57,132,0,2,10,.0549050976261409,.7717072056996646,126.2,.1612,.1882,.0104,2,35.51963860397759,West Germany (U),Founded before 1945 (U),0
0,19,57,132,0,16,107.8,4.213911302150074,6.056982644360455,584.40002,.5844,.1114,.0148,1,18.59382371076132,West Germany (U),Founded before 1945 (U),0
0,19,57,132,0,15.8,101.4,3.883481063127717,5.866601866945933,790.20001,.7902,.23719999,.022600001,2,35.51963860397759,West Germany (U),Founded before 1945 (U),0
0,20,57,132,0,5.4,13.2,.6482485458892313,1.377503095073621,272.20001,.37200001,.0096000005,.001,1,18.59382371076132,West Germany (U),Founded before 1945 (U),0
0,20,57,132,0,3.8,17.200001,.4270791347634931,1.204147545289727,186.2,.25639999,.036200002,.00080000004,2,35.51963860397759,West Germany (U),Founded before 1945 (U),0
0,21,57,132,0,9.4,28.4,1.692513963886982,2.64346423659424,182.2,.1822,.47600001,.0254,1,18.59382371076132,West Germany (U),Founded before 1945 (U),0
0,21,57,132,0,7.6,36.200001,2.01108343703264,2.829521898319688,214.39999,.215,1.2556,.040799998,2,35.51963860397759,West Germany (U),Founded before 1945 (U),0
