Reputation,LuFid,EinheitlicheID,Exz_gefoerdert_FJ,Profs,Mitarbeiter,Drittmitteleinnahmen,Grundmittel,DiplBaMa,StudierendeGesamt,Zitationen,Publikationen,Foerderphase,DM_DFG_Mittel,FoerderungPhase1
0,1,57,0,0,,0,.0011286681712818,,0,0,0,1,18.59382371076132,0
0,3,57,0,0,2.5999999,.1397668127236967,.2343557877467441,15,.015,.0041999999,.0026,1,18.59382371076132,0
0,3,57,0,.2,2.4000001,.0095991250588039,.5088437126007513,47.599998,.047599997,.0054000001,.0024000001,2,35.51963860397759,0
0,4,57,0,2.8,10.2,.0591164494487721,.6682622789796371,22.6,.094999999,.0012000001,.00020000001,1,18.59382371076132,0
0,4,57,0,2.8,9.8000002,.0716399677199889,.836491079058978,14,.1382,.001,.00040000002,2,35.51963860397759,0
1,5,57,0,5.6,21.4,.157331016696178,2.197814294183057,317.60001,.8204,.0099999998,.0048000002,1,18.59382371076132,0
1,5,57,0,6,23,.5456469338856177,1.934363823743446,262.39999,.84959996,.0266,.0074,2,35.51963860397759,0
0,7,57,0,8,8.8000002,.1759904012079235,1.160585976178558,163.8,.1638,.0099999998,.0048000002,1,18.59382371076132,0
0,7,57,0,5.4,13.2,.2737949008543749,1.313251134153751,241.60001,.24160001,.0266,.0074,2,35.51963860397759,0
0,10,57,0,0,2,0,,5,.0049999999,.0040000002,.00033333333,1,18.59382371076132,0
0,10,57,0,0,,0,,12,.012,.017000001,.001,2,35.51963860397759,0
1,12,57,1,31.4,172.8,9.081167122971365,10.41362421917399,798,.98140001,11.0024,.29079998,1,18.59382371076132,0
1,12,57,1,26,269.20001,18.53810164324607,8.384818975884304,785.40002,.9878,15.9352,.36520001,2,35.51963860397759,1
0,13,57,1,14.8,122,4.296194859958044,10.69368777776396,457.20001,.49779999,5.5327997,.17219999,1,18.59382371076132,0
0,13,57,1,15.2,126.6,3.985910046522918,10.76657389349805,513,.5966,9.6024008,.21439999,2,35.51963860397759,1
0,15,57,0,13.33333333333333,111.33334,3.415696702720763,7.446671816069412,372.79999,.37279999,.075400002,.0048000002,1,18.59382371076132,0
0,15,57,1,19,191.2,12.13523426941038,7.150073890456106,604.20001,.60420001,.2068,.011600001,2,35.51963860397759,0
0,17,57,0,1.6,12,.1843757108345804,.8720679227673889,112.2,.1462,.042799998,.0034,1,18.59382371076132,0
0,17,57,0,2,10,.0549050976261409,.7717072056996646,126.2,.1612,.1882,.0104,2,35.51963860397759,0
0,19,57,0,16,107.8,4.213911302150074,6.056982644360455,584.40002,.5844,.1114,.0148,1,18.59382371076132,0
0,19,57,0,15.8,101.4,3.883481063127718,5.866601866945933,790.20001,.7902,.23719999,.022600001,2,35.51963860397759,0
0,20,57,0,5.4,13.2,.6482485458892312,1.377503095073621,272.20001,.37200001,.0096000005,.001,1,18.59382371076132,0
0,20,57,0,3.8,17.200001,.4270791347634931,1.204147545289727,186.2,.25639999,.036200002,.00080000004,2,35.51963860397759,0
0,21,57,0,9.4,28.4,1.692513963886982,2.64346423659424,182.2,.1822,.47600001,.0254,1,18.59382371076132,0
0,21,57,0,7.6,36.200001,2.01108343703264,2.829521898319688,214.39999,.215,1.2556,.040799998,2,35.51963860397759,0
1,22,57,0,11.8,42.599998,.4228748671845976,3.877964217287093,681,1.1654,.0099999998,.0048000002,1,18.59382371076132,0
0,22,57,0,13,55.599998,1.475858076261901,3.024635201456965,621.59998,1.1108,.0266,.0074,2,35.51963860397759,0
1,23,57,0,13.6,50.799999,2.203680130090478,3.499853780002492,853.40002,1.0832,.0083999997,.0052,1,18.59382371076132,0
1,23,57,0,15.6,66.400002,2.721607205917625,3.077993930277672,750.40002,1.1138,.018999999,.0061999997,2,35.51963860397759,0
0,25,57,0,19,128.60001,3.463521385711846,5.716347509355602,671.59998,.67659998,.30039999,.024,1,18.59382371076132,0
0,25,57,1,15.6,137.2,5.443267532743483,5.954682503325817,508.20001,.51139998,.38100001,.023,2,35.51963860397759,0
0,27,57,0,13.2,30.6,.1992010834007687,3.44044246506553,296.79999,.35639998,.00080000004,.00040000002,1,18.59382371076132,0
0,27,57,0,13,28,.2728650749161839,3.115629094946392,252,.3646,.0024000001,.00060000003,2,35.51963860397759,0
0,28,57,0,5,3.8,.0600517708924876,.5669406549915208,238.39999,.2384,0,.00020000001,1,18.59382371076132,0
0,28,57,0,4.8,9.3999996,.2212157958224538,.7494716820919562,297,.29699999,.0016000001,.00080000004,2,35.51963860397759,0
0,29,57,0,3,2.8,.0120677209496145,.3933778257773657,176,.176,.00020000001,0,1,18.59382371076132,0
0,29,57,0,2.8,1.4,.0112345343760964,.5220633929623277,189,.1892,0,0,2,35.51963860397759,0
0,30,57,0,0,,.8935785014075637,.1122402822267535,,0,0,0,1,18.59382371076132,0
0,30,57,0,1,14.2,.5797780722012649,.2550493553189686,,0,0,0,2,35.51963860397759,0
0,32,57,0,14.6,41.799999,.9559249916096703,4.333999982473329,284.39999,.50300002,.36920002,.039000001,1,18.59382371076132,0
0,32,57,0,15.2,51,1.317928975593283,3.529568022179943,372.20001,.68979996,.79900002,.052200001,2,35.51963860397759,0
0,33,57,0,.6666666666666666,1,0,,0,0,0,0,1,18.59382371076132,0
0,33,57,0,0,1.8,0,1.535633692042392,0,0,0,0,2,35.51963860397759,0
0,34,57,0,2,4.1999998,.0043570205506836,.4669756164183147,111.8,.1118,.00020000001,.00040000002,1,18.59382371076132,0
0,34,57,0,2,3.5999999,.0113076927596295,.4162052946348249,96.800003,.096799999,.00080000004,.0014,2,35.51963860397759,0
0,35,57,0,4.4,40.799999,.5538691133607784,3.1705130029279,415,.41499999,.2088,.0032000002,1,18.59382371076132,0
1,35,57,0,5.8,61.799999,1.673475361123259,2.996091208536461,487.79999,.4878,.3964,.0071999999,2,35.51963860397759,0
