Jahr,Profs,Drittmitteleinnahmen,Grundmittel,THDummy,Mitarbeiter,DiplBaMa,ExzDreiFLDummy_U,ExzGefoerdertDummy_U,StudierendeGesamt,Zitationen,Publikationen,Exz_EC1_FJ,Exz_EC2_FJ,Exz_GS1_FJ,Exz_GS2_FJ,Exz_gefoerdert_FJ,Linien_UJ,Reputation,InstIDFinanzen,DM_DFG_Mittel,LuFid,EinheitlicheID,Fachgruppe,BundeslandID
1992,9,44.63182444218452,1798.319203293547,0,7,261,nicht gefördert,nicht gefördert,1002,0,0,0,0,0,0,0,,0,10,299.4796038049689,22,107,131,138
1992,11,17.16608632391704,302.8097627538971,0,7,240,nicht gefördert,nicht gefördert,440,0,0,0,0,0,0,0,,0,10,299.4796038049689,29,107,127,138
1992,8,23.34587740052725,436.7052360804511,0,2,,nicht gefördert,nicht gefördert,,0,0,0,0,0,0,0,,0,10,299.4796038049689,42,107,129,138
1992,,,,,,,,,,,,0,0,0,0,0,,0,10,299.4796038049689,46,107,,
1992,1,0,459.364470028022,0,16,,nicht gefördert,nicht gefördert,,0,0,0,0,0,0,0,,0,10,299.4796038049689,1,107,125,138
1992,,0,830.8385780775883,0,,,nicht gefördert,nicht gefördert,,5,2,0,0,0,0,0,,0,10,299.4796038049689,16,107,125,138
1992,2,20.59930358870048,968.1672686689251,0,3,0,nicht gefördert,nicht gefördert,199,0,0,0,0,0,0,0,,0,10,299.4796038049689,34,107,127,138
1992,7,42.5718940833144,1277.156822499434,0,11,0,nicht gefördert,nicht gefördert,0,2,0,0,0,0,0,0,,0,10,299.4796038049689,39,107,131,138
1992,18,41.19860717740109,3049.383574580627,0,19,126,nicht gefördert,nicht gefördert,378,6,3,0,0,0,0,0,,0,10,299.4796038049689,32,107,128,138
1992,10,63.17119767201502,1519.541961393139,0,5,153,nicht gefördert,nicht gefördert,153,1,0,0,0,0,0,0,,0,10,299.4796038049689,38,107,129,138
1992,,,,,,,,,,,,0,0,0,0,0,,0,10,299.4796038049689,21,107,,
1992,11,1782.52640387555,1671.290164496564,0,13,150,nicht gefördert,nicht gefördert,398,0,0,0,0,0,0,0,,0,10,299.4796038049689,17,107,131,138
1992,,,,,,,,,,,,0,0,0,0,0,,0,10,299.4796038049689,28,107,,
1992,3,122.9091780792466,528.715458776647,0,3,0,nicht gefördert,nicht gefördert,54,0,0,0,0,0,0,0,,0,10,299.4796038049689,18,107,131,138
1992,10,305.5563365657245,3279.409131321128,0,28,188,nicht gefördert,nicht gefördert,440,42,9,0,0,0,0,0,,0,10,299.4796038049689,12,107,128,138
1992,0,0,1136.394914643313,0,1,,nicht gefördert,nicht gefördert,,0,0,0,0,0,0,0,,0,10,299.4796038049689,14,107,127,138
1992,0,140.075264403163,862.4241769135965,0,0,48,nicht gefördert,nicht gefördert,86,0,0,0,0,0,0,0,,0,10,299.4796038049689,23,107,131,138
1992,,,,,,,,,,,,0,0,0,0,0,,0,10,299.4796038049689,55,107,,
1992,,0,4.119860717740099,0,,,nicht gefördert,nicht gefördert,,0,0,0,0,0,0,0,,0,10,299.4796038049689,33,107,128,138
1992,18,408.5528545092275,5527.479796301317,0,43,1276,nicht gefördert,nicht gefördert,1312,1,2,0,0,0,0,0,,0,10,299.4796038049689,15,107,126,138
1992,1,138.7019774972502,11.67293870026282,0,8,,nicht gefördert,nicht gefördert,,0,0,0,0,0,0,0,,0,10,299.4796038049689,53,107,129,138
1992,9,847.3180209485485,2845.450469052495,0,39,123,nicht gefördert,nicht gefördert,141,120,22,0,0,0,0,0,,0,10,299.4796038049689,37,107,128,138
1992,3,172.3475066921268,370.7874645966099,0,2,0,nicht gefördert,nicht gefördert,25,0,0,0,0,0,0,0,,0,10,299.4796038049689,27,107,131,138
1992,4,85.83043161958561,1088.329872936346,0,5,0,nicht gefördert,nicht gefördert,154,0,0,0,0,0,0,0,,0,10,299.4796038049689,49,107,130,138
1992,4,35.01881610079088,301.4364758479847,0,2,63,nicht gefördert,nicht gefördert,65,0,0,0,0,0,0,0,,0,10,299.4796038049689,36,107,131,138
1992,15,293.8833978654605,1590.266237047675,0,14,140,nicht gefördert,nicht gefördert,188,0,2,0,0,0,0,0,,0,10,299.4796038049689,48,107,129,138
1992,0,,,0,0,,nicht gefördert,nicht gefördert,,0,0,0,0,0,0,0,,0,10,299.4796038049689,3,107,131,138
1992,16,360.4878128022586,4797.577805808357,0,34,1006,nicht gefördert,nicht gefördert,1006,0,0,0,0,0,0,0,,0,10,299.4796038049689,8,107,126,138
1992,0,,,0,0,,nicht gefördert,nicht gefördert,,0,0,0,0,0,0,0,,0,10,299.4796038049689,7,107,131,138
1992,18,371.4741080495663,2647.69715460097,0,23,1650,nicht gefördert,nicht gefördert,1650,0,0,0,0,0,0,0,,0,10,299.4796038049689,6,107,126,138
1992,3,19.22601668278715,326.1556401544246,0,0,0,nicht gefördert,nicht gefördert,25,0,0,0,0,0,0,0,,0,10,299.4796038049689,20,107,128,138
1992,0,,,0,0,,nicht gefördert,nicht gefördert,,0,0,0,0,0,0,0,,0,10,299.4796038049689,51,107,126,138
1992,27,227.9656263816187,5951.138806775584,0,21,980,nicht gefördert,nicht gefördert,980,5,7,0,0,0,0,0,,0,10,299.4796038049689,2,107,125,138
1992,4,135.2687602324669,677.7170880682479,0,5,0,nicht gefördert,nicht gefördert,0,2,4,0,0,0,0,0,,0,10,299.4796038049689,25,107,128,138
1992,0,,,0,1,,nicht gefördert,nicht gefördert,,0,0,0,0,0,0,0,,0,10,299.4796038049689,52,107,126,138
1992,8,52.87154587766472,2596.885539082174,0,5,0,nicht gefördert,nicht gefördert,0,0,0,0,0,0,0,0,,0,10,299.4796038049689,11,107,127,138
