Jahr,ExzGefoerdertDummy_U,ExzDreiFLDummy_U,DM_DFG_Mittel,EinheitlicheID
2018,nicht gefoerdert,nicht gefoerdert,9199.325999999999,50
2018,nicht gefoerdert,nicht gefoerdert,30143.918,45
2018,nicht gefoerdert,nicht gefoerdert,15285.818,57
2018,nicht gefoerdert,nicht gefoerdert,11076.376,62
2018,nicht gefoerdert,nicht gefoerdert,8046.676,2
2018,nicht gefoerdert,nicht gefoerdert,879.026,8
2018,gefoerdert,in 3 Linien gefoerdert,61497.069,16
2018,nicht gefoerdert,nicht gefoerdert,4598.658,3
2018,nicht gefoerdert,nicht gefoerdert,12283.807,61
2018,nicht gefoerdert,nicht gefoerdert,7887.986,7
2018,nicht gefoerdert,nicht gefoerdert,21778.305,47
2018,nicht gefoerdert,nicht gefoerdert,11215.096,23
2018,gefoerdert,nicht gefoerdert,48849.368,53
2018,gefoerdert,in 3 Linien gefoerdert,79656.292,35
2018,gefoerdert,nicht gefoerdert,15455.576,31
2018,nicht gefoerdert,nicht gefoerdert,0,28
2018,gefoerdert,nicht gefoerdert,28534.818,11
2018,gefoerdert,nicht gefoerdert,5277.93,22
2018,gefoerdert,nicht gefoerdert,19921.12,41
2018,gefoerdert,nicht gefoerdert,17961.398,4
2018,nicht gefoerdert,nicht gefoerdert,8609.236000000001,56
2018,nicht gefoerdert,nicht gefoerdert,2179.647,58
2018,nicht gefoerdert,nicht gefoerdert,7680.168,37
2018,nicht gefoerdert,nicht gefoerdert,2990.9,46
2018,nicht gefoerdert,nicht gefoerdert,3473.878,54
2018,gefoerdert,nicht gefoerdert,34024.422,5
2018,gefoerdert,nicht gefoerdert,69400.43399999999,48
2018,gefoerdert,in 3 Linien gefoerdert,51546.153,12
2018,nicht gefoerdert,nicht gefoerdert,5082.705,36
2018,gefoerdert,in 3 Linien gefoerdert,61188.202,44
2018,gefoerdert,nicht gefoerdert,52630.449,43
2018,gefoerdert,nicht gefoerdert,57368.784,26
2018,gefoerdert,nicht gefoerdert,20751.774,15
2018,gefoerdert,in 3 Linien gefoerdert,72797.47100000001,67
2018,gefoerdert,nicht gefoerdert,40316.969,68
2018,nicht gefoerdert,nicht gefoerdert,24815.774,34
2018,gefoerdert,nicht gefoerdert,29848.713,42
2018,gefoerdert,nicht gefoerdert,77011.55,13
2018,gefoerdert,nicht gefoerdert,33058.725,19
2018,nicht gefoerdert,nicht gefoerdert,30893.298,24
2018,nicht gefoerdert,nicht gefoerdert,6640.521,64
2018,gefoerdert,nicht gefoerdert,24128.96,38
2018,gefoerdert,nicht gefoerdert,36441.713,17
2018,gefoerdert,in 3 Linien gefoerdert,48685.581,1
2018,gefoerdert,in 3 Linien gefoerdert,77259.43799999999,27
2018,gefoerdert,in 3 Linien gefoerdert,41065.363,52
2018,gefoerdert,in 3 Linien gefoerdert,61024.689,6
2018,nicht gefoerdert,nicht gefoerdert,3373.443,51
2018,gefoerdert,nicht gefoerdert,60402.692,10
2018,gefoerdert,in 3 Linien gefoerdert,105235.397,21
2018,gefoerdert,nicht gefoerdert,40795.962,18
2018,gefoerdert,nicht gefoerdert,24731.011,60
2018,gefoerdert,nicht gefoerdert,9035.466,40
2018,gefoerdert,nicht gefoerdert,28396.957,66
2018,gefoerdert,in 3 Linien gefoerdert,73261.97100000001,9
2018,nicht gefoerdert,nicht gefoerdert,26942.351,30
2018,nicht gefoerdert,nicht gefoerdert,5093.13,32
2018,gefoerdert,nicht gefoerdert,50656.043,14
2018,gefoerdert,in 3 Linien gefoerdert,83987.151,25
2018,gefoerdert,nicht gefoerdert,47041.325,33
2018,gefoerdert,in 3 Linien gefoerdert,42987.57,20
2018,gefoerdert,nicht gefoerdert,45929.266,63
2018,gefoerdert,in 3 Linien gefoerdert,95519.424,39
2018,gefoerdert,nicht gefoerdert,46445.113,29
2018,nicht gefoerdert,nicht gefoerdert,5947.734,49
2018,gefoerdert,nicht gefoerdert,13410.986,55
2018,gefoerdert,nicht gefoerdert,14612.322,65
2018,nicht gefoerdert,nicht gefoerdert,20809.554,59
